use pretrained model TRBA_Rot+SAR.pth
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/1-0.jpg       	バッ                       	1.0000
demo_image/2-0.jpg       	ザッ                       	0.9406
demo_image/2-2.jpg       	ばき                       	0.4849
demo_image/2-4.jpg       	ドドド                      	1.0000
demo_image/3-3.jpg       	ガラガラ                     	0.2308
demo_image/5-6.jpg       	ドキュッ!                    	0.9752
demo_image/5-10.jpg      	ぎゅっ                      	1.0000
demo_image/6-0.jpg       	ごくっ・・・                   	0.9535
demo_image/6-3.jpg       	ドーン                      	0.8542
demo_image/6-4.jpg       	カチン                      	0.9998
demo_image/LoveHina_vol14/1-0.jpg	バッ                       	1.0000
demo_image/LoveHina_vol14/2-0.jpg	ザッ                       	0.9406
demo_image/LoveHina_vol14/2-2.jpg	ばき                       	0.4849
demo_image/LoveHina_vol14/2-4.jpg	ドドド                      	1.0000
demo_image/LoveHina_vol14/3-3.jpg	ガラガラ                     	0.2308
demo_image/LoveHina_vol14/5-6.jpg	ドキュッ!                    	0.9752
demo_image/LoveHina_vol14/5-10.jpg	ぎゅっ                      	1.0000
demo_image/LoveHina_vol14/6-0.jpg	ごくっ・・・                   	0.9535
demo_image/LoveHina_vol14/6-3.jpg	ドーン                      	0.8542
demo_image/LoveHina_vol14/6-4.jpg	カチン                      	0.9998
demo_image/ParaisoRoad/38-0.jpg	ガシャッ                     	0.9679
demo_image/ParaisoRoad/62-2.jpg	ムウ・・・                    	0.7145
demo_image/ParaisoRoad/88-2.jpg	ドオオオオ                    	0.4800
demo_image/SaladDays_vol18/53-0.jpg	パタンッ                     	0.2669
demo_image/SaladDays_vol18/68-1.jpg	ドサワ・・・                   	0.2799
demo_image/SaladDays_vol18/74-0.jpg	ガガガガガガ                   	0.1902
demo_image/SaladDays_vol18/74-1.jpg	ドカ!                      	0.1763

use pretrained model TRBA_Rot+SAR.pth
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/1-0.jpg       	バッ                       	1.0000
demo_image/2-0.jpg       	ザッ                       	0.9406
